,性別,父牛,母の父,母の祖父,母の祖祖父,日令,体重,価格,年月日
15720,去勢,福増,勝忠平,平茂勝,糸秀,284,303,807400,2021-12-09
15721,雌,福増,忠久勝,北国７の８,安平,288,340,730400,2021-12-09
15722,雌,福増,直太郎,福桜（宮）,日向国,305,308,667700,2021-12-09
15723,雌,福増,美津照重,平茂勝,美津福,284,339,793100,2021-12-09
15724,去勢,福増,百合茂,松福美,平茂勝,289,322,793100,2021-12-09
15725,雌,福増,平茂幸,平茂勝,糸秀,332,267,550000,2021-12-09
15726,去勢,福増,平茂勝,糸晴（佐）,紋次郎,289,311,785400,2021-12-09
15727,雌,福増,平茂勝,北国７の８,安平,271,241,500500,2021-12-09
15728,去勢,福増,隆之国,百合茂,平茂晴,301,320,826100,2021-12-09
15729,去勢,福増,諒太郎,百合茂,安福１６５の９,283,332,882200,2021-12-09
15730,去勢,福大勝,安福久,安平,平茂勝,285,286,815100,2021-12-09
15731,去勢,福大勝,美津照重,百合茂,美津福,292,296,684200,2021-12-09
15732,雌,福大勝,隆之国,百合茂,安福久,306,287,682000,2021-12-09
15733,去勢,福之姫,安福久,金幸,神高福,310,380,946000,2021-12-09
15734,去勢,福之姫,安福久,勝忠平,安平,307,375,826100,2021-12-09
15735,去勢,福之姫,安福久,勝忠平,安平,302,356,1104400,2021-12-09
15736,雌,福之姫,安福久,勝忠平,糸福（大）,302,247,660000,2021-12-09
15737,去勢,福之姫,安福久,忠富士,紋次郎,293,296,840400,2021-12-09
15738,雌,福之姫,安福久,百合茂,安平,278,283,1101100,2021-12-09
15739,去勢,福之姫,安福久,福華１,平茂勝,273,316,997700,2021-12-09
15740,去勢,福之姫,安福久,福桜（宮）,安平,292,386,1252900,2021-12-09
15741,去勢,福之姫,安福久,平茂勝,安平,282,303,887700,2021-12-09
15742,去勢,福之姫,安福久,平茂勝,安平,293,358,1249600,2021-12-09
15743,去勢,福之姫,安福久,茂洋,勝忠平,273,326,826100,2021-12-09
15744,去勢,福之姫,安平幸,勝忠平,美津福,276,338,880000,2021-12-09
15745,去勢,福之姫,安茂勝,美津照,隆美,283,316,794200,2021-12-09
15746,去勢,福之姫,華春福,安福久,勝忠平,292,380,1062600,2021-12-09
15747,去勢,福之姫,華春福,喜亀忠,安福久,316,301,819500,2021-12-09
15748,去勢,福之姫,華春福,百合茂,第５隼福,274,361,935000,2021-12-09
15749,雌,福之姫,喜亀忠,安福久,金幸,306,303,730400,2021-12-09
15750,去勢,福之姫,金幸,第５隼福,神高福,259,284,771100,2021-12-09
15751,雌,福之姫,金照,百合茂,平茂勝,299,258,719400,2021-12-09
15752,雌,福之姫,金太郎３,安福久,百合茂,271,305,787600,2021-12-09
15753,去勢,福之姫,金太郎３,安福久,百合茂,288,362,1338700,2021-12-09
15754,雌,福之姫,幸紀雄,美国桜,平茂勝,299,326,767800,2021-12-09
15755,去勢,福之姫,耕富士,美穂国,忠富士,286,322,924000,2021-12-09
15756,雌,福之姫,耕富士,百合茂,安福久,278,272,781000,2021-12-09
15757,雌,福之姫,耕富士,福桜（宮）,福之国,283,290,776600,2021-12-09
15758,雌,福之姫,勝忠平,安福久,百合茂,284,323,777700,2021-12-09
15759,去勢,福之姫,勝忠平,安福久,平茂勝,296,300,844800,2021-12-09
15760,去勢,福之姫,勝忠平,安平,糸秀,278,267,770000,2021-12-09
15761,雌,福之姫,勝忠平,安平,福桜（宮）,294,255,587400,2021-12-09
15762,去勢,福之姫,勝忠平,福栄,福桜（宮）,286,321,794200,2021-12-09
15763,去勢,福之姫,勝忠平,羅威傅王,飛騨白清,239,363,937200,2021-12-09
15764,去勢,福之姫,勝平正,安平,上福,264,311,856900,2021-12-09
15765,雌,福之姫,第１花国,安福久,平茂勝,288,292,793100,2021-12-09
15766,去勢,福之姫,忠富士,安福久,平茂晴,302,316,816200,2021-12-09
15767,去勢,福之姫,直太郎,安福久,忠富士,288,326,1051600,2021-12-09
15768,去勢,福之姫,美津照重,安平,隆桜,269,353,991100,2021-12-09
15769,雌,福之姫,美津照重,花国１６５乃９,上茂福,293,262,705100,2021-12-09
15770,雌,福之姫,美津照重,華春福,安福久,292,310,785400,2021-12-09
15771,去勢,福之姫,美津照重,金幸,平茂勝,295,345,882200,2021-12-09
15772,雌,福之姫,美津照重,第１花国,平茂勝,301,277,739200,2021-12-09
15773,雌,福之姫,美津照重,百合茂,安福久,283,344,787600,2021-12-09
15774,去勢,福之姫,美津照重,百合茂,安福久,287,365,1201200,2021-12-09
15775,雌,福之姫,美津照重,百合茂,福桜（宮）,262,273,696300,2021-12-09
15776,去勢,福之姫,美津照重,平茂晴,平茂勝,296,386,977900,2021-12-09
15777,去勢,福之姫,百合勝安,勝忠平,美津福,282,303,779900,2021-12-09
15778,去勢,福之姫,百合白清２,安福久,安平照,303,358,988900,2021-12-09
15779,去勢,福之姫,百合白清２,安福久,安平照,291,393,1119800,2021-12-09
15780,去勢,福之姫,百合白清２,安福久,菊福秀,262,284,895400,2021-12-09
15781,去勢,福之姫,百合白清２,安福久,平茂勝,277,281,865700,2021-12-09
15782,雌,福之姫,百合白清２,美津照重,勝忠平,298,268,719400,2021-12-09
15783,去勢,福之姫,百合白清２,隆之国,安福久,262,285,822800,2021-12-09
15784,去勢,福之姫,百合茂,安福久,金幸,286,347,938300,2021-12-09
15785,雌,福之姫,百合茂,安福久,勝忠平,271,294,662200,2021-12-09
15786,雌,福之姫,百合茂,安福久,勝忠平,296,256,666600,2021-12-09
15787,去勢,福之姫,百合茂,安福久,勝忠平,271,281,865700,2021-12-09
15788,去勢,福之姫,百合茂,安福久,勝忠平,281,373,1060400,2021-12-09
15789,去勢,福之姫,百合茂,安福久,勝忠平,259,321,1061500,2021-12-09
15790,去勢,福之姫,百合茂,安福久,勝忠平,268,378,1098900,2021-12-09
15791,雌,福之姫,百合茂,安福久,平茂勝,297,275,820600,2021-12-09
15792,雌,福之姫,百合茂,安平,福桜（宮）,262,274,715000,2021-12-09
15793,雌,福之姫,百合茂,照美,美津福,234,239,631400,2021-12-09
15794,去勢,福之姫,百合茂,福谷福,糸秀,293,388,929500,2021-12-09
15795,去勢,福之姫,百合茂,福谷福,糸秀,293,336,976800,2021-12-09
15796,去勢,福之姫,百合茂,紋次郎,糸弘２,300,309,744700,2021-12-09
15797,雌,福之姫,百合茂,紋次郎,糸福（大）,297,337,706200,2021-12-09
15798,雌,福之姫,平茂勝,安平,神高福,294,323,763400,2021-12-09
15799,去勢,福之姫,平茂晴,安福久,金幸,298,333,1065900,2021-12-09
15800,雌,福之姫,北平安,隆茂福,第２０平茂,296,376,753500,2021-12-09
15801,雌,福之姫,隆之国,安福久,第１花国,303,318,861300,2021-12-09
15802,去勢,福之姫,隆之国,勝忠平,安平,278,343,881100,2021-12-09
15803,雌,平茂晴,福之姫,安福久,平茂勝,287,312,777700,2021-12-09
15804,去勢,弁慶３,金太郎３,安福久,百合茂,307,247,117700,2021-12-09
15805,去勢,弁慶３,平茂晴,金幸,平茂勝,222,290,793100,2021-12-09
15806,去勢,弁慶３,茂晴２３,百合茂,第５隼福,310,286,731500,2021-12-09
15807,去勢,芳之国,安福久,福之国,忠富士,310,301,816200,2021-12-09
15808,去勢,芳之国,美津照重,百合茂,福之国,279,340,974600,2021-12-09
15809,去勢,芳之国,茂勝朗,安福久,平茂勝,284,327,1096700,2021-12-09
15810,雌,北乃大福,第７糸桜,平茂晴,糸晴美,255,243,537900,2021-12-09
15811,雌,満天白清,勝平正,安平,福茂,289,308,726000,2021-12-09
15812,去勢,満天白清,忠富士,福之国,安平,264,307,812900,2021-12-09
15813,雌,満天白清,美国桜,勝忠平,平茂勝,293,325,771100,2021-12-09
15814,雌,満天白清,福之国,忠富士,安平,279,271,679800,2021-12-09
15815,雌,茂勝朗,安糸福,平茂勝,北国７の８,294,284,643500,2021-12-09
15816,去勢,茂勝朗,幸紀雄,安福久,勝忠平,288,319,1002100,2021-12-09
15817,去勢,茂勝朗,福之国,安平,糸秀,280,317,698500,2021-12-09
15818,雌,茂勝朗,隆之国,安福久,百合茂,282,280,739200,2021-12-09
15819,雌,茂晴花,金太郎３,安福久,平茂勝,293,271,658900,2021-12-09
15820,雌,茂晴花,寿恵福,正姫,牧福,288,284,632500,2021-12-09
15821,雌,茂晴花,直太郎,平茂勝,隆桜,310,313,691900,2021-12-09
15822,雌,茂晴花,八重福栄,第３平茂勝,隆桜,294,272,598400,2021-12-09
15823,雌,茂晴花,美国桜,平茂勝,安平,312,297,707300,2021-12-09
15824,去勢,茂晴花,美津照重,百合茂,福栄,272,319,815100,2021-12-09
15825,雌,茂晴花,美津照重,平茂幸,福栄,280,241,554400,2021-12-09
15826,雌,茂晴花,百合茂,安福久,平茂勝,305,280,694100,2021-12-09
15827,雌,茂晴花,福之国,糸秀,安平,292,273,638000,2021-12-09
15828,雌,茂晴花,平茂勝,紋次郎,北国７の８,319,277,587400,2021-12-09
15829,雌,茂晴花,平茂晴,平茂勝,安福１６５の９,301,257,610500,2021-12-09
15830,雌,茂晴花,隆之国,勝忠平,隆桜,308,283,619300,2021-12-09
15831,雌,茂晴花,諒太郎,安福久,忠富士,316,281,683100,2021-12-09
15832,雌,隆安国,華春福,百合茂,安福久,330,320,709500,2021-12-09
15833,去勢,隆安国,光平照,勝忠平,美津照,262,278,715000,2021-12-09
15834,去勢,隆安国,福華１,安福久,茂重波,288,342,1024100,2021-12-09
15835,去勢,隆之国,安福久,百合茂,安糸福,289,314,930600,2021-12-09
15836,雌,隆之国,福栄,安福久,平茂勝,302,322,761200,2021-12-09
15837,雌,隆富志,勝忠平,安平,隆桜,258,211,462000,2021-12-09
15838,去勢,諒太郎,安福久,百合茂,安平,281,299,753500,2021-12-09
15839,去勢,諒太郎,安福久,平茂勝,安福１６５の９,296,298,808500,2021-12-09
15840,雌,諒太郎,安福久,平茂勝,安平,300,336,811800,2021-12-09
15841,雌,諒太郎,安平照,糸秀,奥高,304,268,624800,2021-12-09
15842,雌,諒太郎,安平照,糸福（鹿）,金幸,274,276,638000,2021-12-09
15843,雌,諒太郎,安茂勝,紋次郎,糸福（大）,281,290,704000,2021-12-09
15844,去勢,諒太郎,菊花国,安福久,平茂勝,277,427,864600,2021-12-09
15845,去勢,諒太郎,菊花国,勝忠平,安平,290,209,433400,2021-12-09
15846,去勢,諒太郎,金照,平茂勝,福栄,285,203,667700,2021-12-09
15847,去勢,諒太郎,幸紀雄,安福久,百合茂,291,326,867900,2021-12-09
15848,雌,諒太郎,勝忠平,安平,糸弘２,302,278,685300,2021-12-09
15849,雌,諒太郎,第５隼福,安平,隆桜,294,262,642400,2021-12-09
15850,去勢,諒太郎,忠富士,隆桜,安平,288,354,821700,2021-12-09
15851,雌,諒太郎,藤北景,福栄,平茂勝,296,242,668800,2021-12-09
15852,去勢,諒太郎,美津福,糸福（大）,糸豊,285,277,635800,2021-12-09
15853,雌,諒太郎,美津福,平茂勝,神高福,292,317,723800,2021-12-09
15854,雌,諒太郎,百合茂,安糸福,平茂勝,286,285,764500,2021-12-09
15855,雌,諒太郎,百合茂,安福１６５の９,第２０平茂,292,320,798600,2021-12-09
15856,雌,諒太郎,百合茂,安福久,金幸,290,285,790900,2021-12-09
15857,去勢,諒太郎,百合茂,安福勝,糸福（大）,290,359,862400,2021-12-09
15858,雌,諒太郎,福之国,忠富士,福桜（宮）,267,302,781000,2021-12-09
15859,雌,諒太郎,平茂勝,安福１６５の９,第２０平茂,306,311,751300,2021-12-09
15860,去勢,諒太郎,平茂勝,安平,第２０平茂,299,210,440000,2021-12-09
15861,去勢,諒太郎,平茂勝,安平,福桜（宮）,281,320,722700,2021-12-09
15862,去勢,諒太郎,平茂晴,安福１６５の９,第２０平茂,289,380,821700,2021-12-09
15863,雌,愛之国,安福久,勝忠平,神高福,296,285,749100,2021-12-10
15864,雌,愛之国,安福久,百合茂,糸福（大）,306,289,814000,2021-12-10
15865,雌,愛之国,安福久,平茂勝,安平,304,272,653400,2021-12-10
15866,雌,愛之国,安福久,平茂勝,糸福（大）,299,290,740300,2021-12-10
15867,雌,愛之国,安福久,平茂勝,忠福,297,303,815100,2021-12-10
15868,去勢,愛之国,安福久,平茂勝,紋次郎,286,317,950400,2021-12-10
15869,去勢,愛之国,安茂勝,安平,糸弘２,300,277,774400,2021-12-10
15870,去勢,愛之国,安茂勝,美津照重,糸晴（佐）,298,285,682000,2021-12-10
15871,去勢,愛之国,華春福,安福久,勝忠平,280,291,843700,2021-12-10
15872,去勢,愛之国,金太郎３,安福久,平茂勝,305,215,556600,2021-12-10
15873,去勢,愛之国,幸紀雄,百合茂,安福久,305,337,818400,2021-12-10
15874,去勢,愛之国,第２平茂勝,福桜（宮）,糸秀,297,336,723800,2021-12-10
15875,去勢,愛之国,忠富士,安平,福桜（宮）,289,311,767800,2021-12-10
15876,去勢,愛之国,忠富士,安平,隆桜,291,333,798600,2021-12-10
15877,雌,愛之国,直太郎,安福久,平茂勝,294,264,667700,2021-12-10
15878,雌,愛之国,直太郎,福之国,安平,294,263,628100,2021-12-10
15879,去勢,愛之国,美津照重,平茂勝,糸福（大）,309,281,662200,2021-12-10
15880,去勢,愛之国,百合白清２,安福久,忠富士,300,353,1041700,2021-12-10
15881,去勢,愛之国,百合茂,安福久,勝平正,299,355,907500,2021-12-10
15882,去勢,愛之国,百合茂,安平,隆桜,291,338,837100,2021-12-10
15883,雌,愛之国,百合茂,安平照,福桜（宮）,293,260,612700,2021-12-10
15884,去勢,愛之国,和人,平茂勝,金幸,305,323,599500,2021-12-10
15885,去勢,安亀忠,安福久,勝平正,金幸,279,337,1004300,2021-12-10
15886,去勢,安亀忠,安福久,百合茂,第１花国,278,328,1020800,2021-12-10
15887,去勢,安亀忠,安茂勝,安福久,平茂勝,288,315,785400,2021-12-10
15888,去勢,安亀忠,幸紀雄,安福久,勝忠平,297,310,971300,2021-12-10
15889,去勢,安亀忠,幸紀雄,安福久,平茂晴,274,316,942700,2021-12-10
15890,去勢,安亀忠,幸紀雄,隆之国,安福久,294,323,856900,2021-12-10
15891,去勢,安亀忠,勝忠平,安福久,平茂勝,313,387,900900,2021-12-10
15892,雌,安亀忠,第２勝王,華春福,百合茂,263,253,631400,2021-12-10
15893,去勢,安亀忠,忠富士,福之国,安平,314,315,656700,2021-12-10
15894,雌,安亀忠,直太郎,北国７の８,平茂勝,296,332,694100,2021-12-10
15895,去勢,安亀忠,美国桜,百合茂,安福久,278,290,867900,2021-12-10
15896,去勢,安亀忠,美津照重,勝忠平,安平,278,334,811800,2021-12-10
15897,去勢,安亀忠,美津百合,安糸福,平茂勝,283,270,740300,2021-12-10
15898,去勢,安亀忠,百合茂,第１花国,平茂勝,274,309,816200,2021-12-10
15899,去勢,安亀忠,平茂晴,平茂勝,紋次郎,273,325,794200,2021-12-10
15900,去勢,安亀忠,芳之国,第２平茂勝,飛騨白清,271,365,885500,2021-12-10
15901,去勢,安福久,花清国,第１花国,平茂勝,303,256,628100,2021-12-10
15902,去勢,安福久,華春福,百合茂,安平,293,297,705100,2021-12-10
15903,去勢,安福久,耕富士,百合茂,安平,275,337,782100,2021-12-10
15904,雌,安福久,勝忠平,金幸,第５隼福,289,303,739200,2021-12-10
15905,雌,安福久,平茂勝,安平,糸秀,270,261,803000,2021-12-10
15906,雌,夏百合,華春福,安福久,平茂勝,292,311,716100,2021-12-10
15907,去勢,夏百合,華春福,百合茂,平茂勝,308,268,608300,2021-12-10
15908,雌,夏百合,糸福（鹿）,貴安福,平茂勝,281,215,376200,2021-12-10
15909,雌,夏百合,忠富士,安平,誠隆,289,316,699600,2021-12-10
15910,去勢,夏百合,忠富士,福之国,安平,285,307,753500,2021-12-10
15911,去勢,夏百合,美国桜,安福久,勝忠平,285,253,768900,2021-12-10
15912,雌,夏百合,美国桜,勝忠平,北国７の８,289,251,733700,2021-12-10
15913,去勢,夏百合,美国桜,徳悠翔,安福久,296,287,897600,2021-12-10
15914,雌,夏百合,福之国,福桜（宮）,糸秀,294,257,561000,2021-12-10
15915,去勢,夏百合,満天白清,忠富士,福桜（宮）,304,263,431200,2021-12-10
15916,雌,夏百合,隆之国,安福久,勝忠平,306,267,721600,2021-12-10
15917,雌,夏百合,隆之国,安福久,百合茂,275,258,715000,2021-12-10
15918,去勢,関平照,幸紀雄,隆之国,平茂勝,288,317,771100,2021-12-10
15919,雌,関平照,美国桜,百合茂,安福久,286,275,720500,2021-12-10
15920,雌,関平照,百合茂,安福久,勝忠平,295,276,719400,2021-12-10
15921,雌,喜亀忠,勝忠平,神高福,第２０平茂,313,328,667700,2021-12-10
15922,雌,喜亀忠,百合清,美津福,北国７の８,294,263,592900,2021-12-10
15923,雌,紀多福,安糸福,平茂勝,糸福（大）,276,260,677600,2021-12-10
15924,雌,紀多福,安福久,第１花国,平茂勝,275,264,704000,2021-12-10
15925,去勢,紀多福,安福久,忠富士,福桜（宮）,293,376,1104400,2021-12-10
15926,雌,紀多福,安福久,忠茂勝,神高福,273,257,666600,2021-12-10
15927,雌,紀多福,安福久,百合茂,安糸福,298,290,755700,2021-12-10
15928,雌,紀多福,安福久,平茂勝,安平,299,321,764500,2021-12-10
15929,去勢,紀多福,安福久,平茂勝,高栄,292,323,836000,2021-12-10
15930,雌,紀多福,安福久,平茂勝,糸福（大）,290,307,702900,2021-12-10
15931,去勢,紀多福,安福久,平茂勝,糸福（大）,263,309,899800,2021-12-10
15932,去勢,紀多福,安福久,平茂勝,糸福（大）,279,302,982300,2021-12-10
15933,雌,紀多福,金太郎３,安福久,平茂晴,301,353,801900,2021-12-10
15934,去勢,紀多福,金太郎３,平茂晴,安福久,296,307,877800,2021-12-10
15935,去勢,紀多福,耕富士,安福久,平茂勝,273,385,1167100,2021-12-10
15936,去勢,紀多福,勝忠平,紋次郎,隆桜,268,285,723800,2021-12-10
15937,雌,紀多福,清勝正,美津照重,中部６,292,292,737000,2021-12-10
15938,雌,紀多福,直太郎,安福久,平茂勝,292,252,656700,2021-12-10
15939,雌,紀多福,美国桜,安福久,平茂勝,281,253,705100,2021-12-10
15940,雌,紀多福,美国桜,勝忠平,糸福（大）,287,296,749100,2021-12-10
15941,雌,紀多福,美国桜,百合茂,安福久,287,265,722700,2021-12-10
15942,雌,紀多福,美津照重,百合茂,安福久,287,239,528000,2021-12-10
15943,去勢,紀多福,美津照重,百合茂,安福久,287,264,715000,2021-12-10
15944,雌,紀多福,美穂国,忠富士,日向国,277,286,686400,2021-12-10
15945,雌,紀多福,美穂国,福之国,忠富士,290,313,715000,2021-12-10
15946,去勢,紀多福,百合白清２,華春福,安福久,288,406,902000,2021-12-10
15947,去勢,紀多福,百合茂,安福久,平茂勝,301,313,930600,2021-12-10
15948,雌,紀多福,百合茂,安平照,糸福（大）,294,350,775500,2021-12-10
15949,雌,紀多福,福栄,北国７の８,忠福,318,326,672100,2021-12-10
15950,雌,紀多福,芳之国,安福久,百合茂,287,295,696300,2021-12-10
15951,雌,紀多福,隆之国,安福久,糸福（鹿）,295,313,778800,2021-12-10
15952,雌,紀多福,隆之国,勝忠平,安福１６５の９,291,279,696300,2021-12-10
15953,雌,紀多福,隆之国,百合茂,安糸福,279,230,565400,2021-12-10
15954,去勢,紀多福,隆之国,百合茂,安福久,269,346,819500,2021-12-10
15955,雌,紀多福,隆之国,百合茂,勝忠平,287,301,750200,2021-12-10
15956,雌,紀多福,諒太郎,平茂勝,紋次郎,259,230,587400,2021-12-10
15957,雌,紀代美,芳之国,勝忠平,百合茂,288,280,642400,2021-12-10
15958,雌,貴隼桜,菊花国,平茂勝,北国７の８,278,251,544500,2021-12-10
15959,去勢,貴隼桜,百合茂,茂洋,勝忠平,279,265,740300,2021-12-10
15960,雌,菊花国,安糸福,平茂勝,紋次郎,312,310,614900,2021-12-10
15961,雌,金太郎３,安福久,勝忠平,安平,280,325,805200,2021-12-10
15962,去勢,金太郎３,安福久,第１花国,忠富士,302,343,992200,2021-12-10
15963,雌,金太郎３,安福久,忠富士,安平照,291,346,1320000,2021-12-10
15964,去勢,金太郎３,安福久,平茂勝,安福（岐）,291,312,951500,2021-12-10
15965,雌,光平照,百合茂,安福（岐）,安平,301,266,590700,2021-12-10
15966,去勢,幸紀雄,安福久,勝忠平,忠富士,288,260,682000,2021-12-10
15967,去勢,幸紀雄,安福久,勝忠平,紋次郎,274,348,1221000,2021-12-10
15968,去勢,幸紀雄,安福久,百合茂,安糸福,286,290,856900,2021-12-10
15969,去勢,幸紀雄,安福久,百合茂,安平,308,243,749100,2021-12-10
15970,雌,幸紀雄,安福久,百合茂,安平,298,319,837100,2021-12-10
15971,去勢,幸紀雄,安福久,北国７の８,安平,265,290,834900,2021-12-10
15972,雌,幸紀雄,華春福,安福久,金幸,295,265,690800,2021-12-10
15973,去勢,幸紀雄,華春福,安福久,忠茂勝,307,310,899800,2021-12-10
15974,去勢,幸紀雄,金太郎３,勝忠平,紋次郎,298,355,859100,2021-12-10
15975,去勢,幸紀雄,耕富士,安福久,第１花国,293,299,876700,2021-12-10
15976,雌,幸紀雄,勝忠平,安福久,平茂勝,280,248,645700,2021-12-10
15977,去勢,幸紀雄,美国桜,勝忠平,菊福秀,295,225,618200,2021-12-10
15978,雌,幸紀雄,美国桜,忠富士,第１花国,288,274,684200,2021-12-10
15979,去勢,幸紀雄,美国桜,忠富士,第１花国,276,290,878900,2021-12-10
15980,去勢,幸紀雄,美国桜,百合茂,安福久,302,273,771100,2021-12-10
15981,去勢,幸紀雄,百合白清２,安福久,平茂勝,254,280,864600,2021-12-10
15982,雌,幸紀雄,福之姫,忠富士,勝平正,293,293,676500,2021-12-10
15983,去勢,幸紀雄,福之姫,百合茂,安平,303,361,895400,2021-12-10
15984,去勢,幸紀雄,平茂晴,福之国,福桜（宮）,311,335,773300,2021-12-10
15985,雌,幸紀雄,芳之国,安福久,平茂勝,280,244,646800,2021-12-10
15986,雌,幸紀雄,芳之国,安福久,平茂勝,293,283,669900,2021-12-10
15987,去勢,幸紀雄,隆之国,安福久,平茂勝,268,271,799700,2021-12-10
15988,去勢,幸紀雄,隆之国,安福久,平茂勝,285,331,853600,2021-12-10
15989,去勢,幸紀雄,隆之国,勝忠平,福栄,276,312,781000,2021-12-10
15990,去勢,幸忠栄,安福久,勝忠平,福栄,343,260,575300,2021-12-10
15991,去勢,幸忠栄,安福久,勝忠平,福栄,301,266,773300,2021-12-10
15992,去勢,幸忠栄,安福久,第１花国,安平,314,408,881100,2021-12-10
15993,去勢,幸忠栄,安福久,平茂勝,紋次郎,314,412,865700,2021-12-10
15994,雌,幸忠栄,安福久,平茂晴,第１花国,286,301,763400,2021-12-10
15995,雌,幸忠栄,幸紀雄,安福久,平茂晴,290,258,661100,2021-12-10
15996,去勢,幸忠栄,勝忠平,福栄,安平,295,353,801900,2021-12-10
15997,雌,幸忠栄,勝忠平,福桜（宮）,紋次郎,285,286,686400,2021-12-10
15998,雌,幸忠栄,勝忠平,福之国,安福（岐）,292,249,616000,2021-12-10
15999,去勢,幸忠栄,美国桜,安福久,勝忠平,286,301,788700,2021-12-10
16000,雌,幸忠栄,美津照重,安福久,百合茂,294,324,782100,2021-12-10
16001,雌,幸忠栄,美津照重,百合茂,安平,283,260,623700,2021-12-10
16002,雌,幸忠栄,百合白清２,安福久,勝忠平,284,280,708400,2021-12-10
16003,雌,幸忠栄,北国７の８,安福（岐）,奥高,288,275,628100,2021-12-10
16004,雌,幸忠栄,隆之国,安福久,百合茂,287,268,677600,2021-12-10
16005,雌,耕富士,安福久,忠富士,安平,303,232,672100,2021-12-10
16006,去勢,耕富士,秀菊安,美穂国,忠富士,289,316,841500,2021-12-10
16007,去勢,耕富士,福之国,忠富士,福桜（宮）,280,337,841500,2021-12-10
16008,雌,実有貴,平茂勝,福茂,隆美,302,237,445500,2021-12-10
16009,去勢,若百合,安糸福,平茂勝,神高福,295,347,884400,2021-12-10
16010,雌,若百合,安忠喜,百合茂,芳之国,303,305,773300,2021-12-10
16011,去勢,若百合,安福久,勝忠平,安平,277,269,826100,2021-12-10
16012,雌,若百合,安福久,勝忠平,菊安舞鶴,295,276,721600,2021-12-10
16013,雌,若百合,安福久,勝忠平,福栄,319,281,817300,2021-12-10
16014,雌,若百合,安福久,勝忠平,福桜（宮）,286,311,836000,2021-12-10
16015,去勢,若百合,安福久,勝忠平,福桜（宮）,279,280,880000,2021-12-10
16016,去勢,若百合,安福久,勝忠平,北国７の８,283,292,804100,2021-12-10
16017,雌,若百合,安福久,忠富士,安平,282,273,676500,2021-12-10
16018,去勢,若百合,安福久,忠富士,安平,280,305,862400,2021-12-10
16019,雌,若百合,安福久,平茂勝,安平,296,328,829400,2021-12-10
16020,去勢,若百合,安福久,平茂勝,安平,298,331,848100,2021-12-10
16021,雌,若百合,安福久,平茂晴,第１花国,301,301,762300,2021-12-10
16022,雌,若百合,安福久,平茂晴,第１花国,308,303,798600,2021-12-10
16023,去勢,若百合,安福久,平茂晴,紋次郎,312,365,987800,2021-12-10
16024,去勢,若百合,華春福,安福久,勝忠平,294,297,858000,2021-12-10
16025,雌,若百合,華春福,忠茂勝,忠福,291,359,782100,2021-12-10
16026,去勢,若百合,華春福,百合茂,安糸福,282,343,828300,2021-12-10
16027,雌,若百合,義美福,安福久,平茂勝,277,279,704000,2021-12-10
16028,去勢,若百合,金太郎３,安福久,平茂勝,272,303,909700,2021-12-10
16029,去勢,若百合,幸紀雄,安福久,勝忠平,297,299,763400,2021-12-10
16030,去勢,若百合,幸紀雄,安福久,勝忠平,281,262,838200,2021-12-10
16031,去勢,若百合,耕富士,美国桜,安福久,301,345,854700,2021-12-10
16032,去勢,若百合,勝早桜５,百合白清２,隆之国,272,322,961400,2021-12-10
16033,雌,若百合,勝忠平,安福久,百合茂,288,260,630300,2021-12-10
16034,雌,若百合,勝忠平,秀菊安,日向国,305,309,679800,2021-12-10
16035,雌,若百合,勝忠平,美津福,平茂勝,304,375,754600,2021-12-10
16036,去勢,若百合,忠富士,安平,糸福（大）,269,302,764500,2021-12-10
16037,雌,若百合,忠富士,安平,紋次郎,300,317,742500,2021-12-10
16038,雌,若百合,美国桜,安福久,勝忠平,263,275,754600,2021-12-10
16039,雌,若百合,美国桜,安福久,平茂勝,287,321,1131900,2021-12-10
16040,雌,若百合,美国桜,華春福,安福久,295,308,840400,2021-12-10
16041,去勢,若百合,美国桜,勝忠平,安糸福,292,310,952600,2021-12-10
16042,去勢,若百合,美国桜,忠富士,隆桜,295,303,896500,2021-12-10
16043,雌,若百合,美津照重,安福久,平茂勝,294,295,768900,2021-12-10
16044,去勢,若百合,美津照重,好平茂,勝忠平,274,339,844800,2021-12-10
16045,去勢,若百合,美津照重,勝忠平,安福久,293,225,581900,2021-12-10
16046,去勢,若百合,美津照重,平茂晴,平茂勝,278,330,816200,2021-12-10
16047,去勢,若百合,美津照重,芳之国,勝忠平,295,344,819500,2021-12-10
16048,去勢,若百合,美津百合,安福久,忠富士,316,373,860200,2021-12-10
16049,雌,若百合,美穂国,勝平正,福桜（宮）,304,215,206800,2021-12-10
16050,去勢,若百合,福安照,平茂勝,安平,362,242,563200,2021-12-10
16051,雌,若百合,福華１,平茂晴,牛若丸,308,265,669900,2021-12-10
16052,去勢,若百合,平茂勝,紋次郎,隆美,274,300,752400,2021-12-10
16053,雌,若百合,平茂晴,安福１６５の９,第２０平茂,283,293,664400,2021-12-10
16054,雌,若百合,平茂晴,安福久,平茂勝,304,275,668800,2021-12-10
16055,去勢,若百合,平茂晴,安福久,平茂勝,252,288,800800,2021-12-10
16056,雌,若百合,茂洋,福桜（宮）,安平,295,251,663300,2021-12-10
16057,雌,若百合,隆之国,勝忠平,第１花国,317,253,634700,2021-12-10
16058,去勢,若百合,隆之国,美津照重,平茂勝,292,256,704000,2021-12-10
